ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost,rank,held
ANGO,2026-09-03,15.47,14.66,12.52,True,True,15.83,2.33,5.24,ARMED,,,15.8,stop too tight,False,,,11.0,False
22UA.DE,2026-09-03,88.4,85.06,84.67,True,True,90.5,2.38,3.78,ARMED,87.73,3.06,87.73,,False,20.0,1810.0,86.0,False
ASAN,2026-09-03,10.09,8.7,9.16,True,True,10.37,2.78,9.2,ARMED,9.7,6.51,9.7,,False,83.0,861.0,56.0,False
TOST,2026-09-03,33.93,32.49,31.23,True,True,34.97,3.07,4.23,ARMED,33.54,4.08,33.54,,False,39.0,1364.0,41.0,False
U,2026-09-03,42.08,37.88,32.33,True,True,43.54,3.47,9.98,ARMED,40.28,7.48,40.28,,False,17.0,740.0,51.0,False
CERT,2026-09-03,8.13,7.59,7.66,True,True,8.43,3.69,5.81,ARMED,8.36,0.79,8.36,,False,334.0,2816.0,106.0,False
LYFT,2026-09-03,17.28,16.29,15.78,True,True,17.98,4.05,5.7,ARMED,17.07,5.09,17.07,,False,61.0,1097.0,61.0,False
WIX,2026-09-03,81.2,69.22,81.01,True,True,89.8,10.59,0.24,ARMED,87.0,3.12,87.0,,False,19.0,1706.0,43.0,False
SIX2.DE,2026-09-03,71.46,71.39,71.61,False,True,72.2,1.04,-0.21,DISARMED,,,,,False,,,13.0,False
CEG,2026-09-03,285.05,272.46,286.67,False,True,296.62,4.06,-0.57,DISARMED,,,,,False,,,101.0,False
MU,2026-09-03,958.16,917.29,664.94,True,True,959.76,0.17,4.27,HELD,913.17,4.85,913.17,,False,1.0,960.0,8.0,True
AMGN,2026-09-03,444.12,402.59,359.94,True,True,445.82,0.38,9.35,HELD,437.88,1.78,437.88,,False,6.0,2675.0,24.0,True
NVDA,2026-09-03,228.45,213.15,197.37,True,True,230.4,0.85,6.7,HELD,223.7,2.91,223.7,,False,8.0,1843.0,22.0,True
MRNA,2026-09-03,148.87,93.18,61.22,True,True,150.2,0.89,37.41,HELD,141.29,5.93,141.29,,False,6.0,901.0,1.0,True
DE,2026-09-03,694.41,619.2,572.82,True,True,705.88,1.65,10.83,HELD,675.46,4.31,675.46,,False,1.0,706.0,25.0,True
DELL,2026-09-03,516.39,430.52,296.74,True,True,530.78,2.79,16.63,HELD,478.43,9.86,478.43,,False,1.0,531.0,2.0,True
QQQ,2026-09-03,717.67,710.11,663.98,True,False,718.92,0.17,1.05,NEW ARM,711.68,1.01,711.68,,False,3.0,2157.0,12.0,False
AMZN,2026-09-03,258.9,256.16,242.06,True,False,259.5,0.23,1.06,NEW ARM,254.7,1.85,254.7,,False,10.0,2595.0,82.0,False
IBKR,2026-09-03,92.95,91.27,80.61,True,False,93.27,0.34,1.81,NEW ARM,90.09,3.41,90.09,,False,17.0,1586.0,15.0,False
FIGR,2026-09-03,36.21,32.87,34.47,True,False,36.96,2.07,4.8,NEW ARM,33.77,8.63,33.77,,False,17.0,628.0,,False
CSF.DE,2026-09-03,234.9,246.26,239.43,False,False,234.9,0.0,-4.84,flat,,,,,False,,,,False
BIDU,2026-09-03,95.58,104.92,115.26,False,False,95.76,0.19,-20.59,flat,,,,,False,,,47.0,False
BABA,2026-09-03,111.81,119.25,128.38,False,False,112.06,0.22,-14.82,flat,,,,,False,,,63.0,False
JBL,2026-09-03,305.92,326.83,297.33,False,False,306.61,0.23,-6.84,flat,,,,,False,,,17.0,False
RTX,2026-09-03,202.13,206.87,190.46,False,False,202.67,0.27,-2.34,flat,,,,,False,,,16.0,False
2GB.DE,2026-09-03,56.64,58.31,50.44,False,False,56.8,0.28,-2.95,flat,,,,,False,,,7.0,False
GE,2026-09-03,333.48,349.32,321.48,False,False,334.44,0.29,-4.75,flat,,,,,False,,,21.0,False
MTX.DE,2026-09-03,343.0,354.15,345.52,False,False,344.2,0.35,-3.25,flat,,,,,False,,,30.0,False
DUK,2026-09-03,121.4,123.77,124.11,False,False,121.98,0.48,-2.24,flat,,,,,False,,,79.0,False
GOOG,2026-09-03,339.08,345.96,324.74,False,False,340.85,0.52,-2.03,flat,,,,,False,,,88.0,False
HAG.DE,2026-09-03,82.08,84.1,80.65,False,False,82.52,0.54,-2.45,flat,,,,,False,,,46.0,False
HBH.DE,2026-09-03,81.15,81.5,82.67,False,False,81.6,0.55,-1.87,flat,,,,,False,,,62.0,False
HLT,2026-09-03,314.35,324.4,311.35,False,False,316.11,0.56,-3.2,flat,,,,,False,,,52.0,False
AIR.DE,2026-09-03,196.7,201.27,190.44,False,False,197.88,0.6,-2.32,flat,,,,,False,,,36.0,False
AVGO,2026-09-03,357.16,383.85,365.74,False,False,359.4,0.63,-7.47,flat,,,,,False,,,19.0,False
XPEV,2026-09-03,11.14,12.54,15.62,False,False,11.21,0.63,-40.24,flat,,,,,False,,,66.0,False
ADN1.DE,2026-09-03,62.7,58.49,65.15,False,False,63.1,0.64,-3.9,flat,,,,,False,,,73.0,False
8RMY.DE,2026-09-02,9.95,10.24,10.03,False,False,10.02,0.69,-2.81,flat,,,,,True,,,97.0,False
DUE.DE,2026-09-03,17.76,18.16,19.83,False,False,17.9,0.79,-11.64,flat,,,,,False,,,80.0,False
AMD,2026-09-03,456.16,479.75,372.92,False,False,459.77,0.79,-5.17,flat,,,,,False,,,3.0,False
LUV,2026-09-03,38.73,43.47,42.02,False,False,39.05,0.83,-12.25,flat,,,,,False,,,27.0,False
RBC,2026-09-03,490.78,548.46,533.39,False,False,494.96,0.85,-11.75,flat,,,,,False,,,26.0,False
QCOM,2026-09-03,168.57,170.76,170.41,False,False,170.03,0.87,-1.3,flat,,,,,False,,,44.0,False
LMT,2026-09-03,532.95,559.34,546.45,False,False,537.92,0.93,-4.95,flat,,,,,False,,,104.0,False
MCD,2026-09-03,259.63,270.67,288.09,False,False,262.09,0.95,-10.96,flat,,,,,False,,,67.0,False
BWXT,2026-09-03,160.25,170.83,183.35,False,False,161.8,0.97,-14.41,flat,,,,,False,,,93.0,False
CSCO,2026-09-03,108.61,112.99,98.21,False,False,109.67,0.98,-4.04,flat,,,,,False,,,5.0,False
8XPA.DE,2026-09-03,9.5,10.86,13.5,False,False,9.6,1.05,-42.09,flat,,,,,False,,,,False
BY6.DE,2026-09-03,9.49,9.86,10.5,False,False,9.59,1.07,-10.65,flat,,,,,False,,,,False
KGX.DE,2026-09-03,43.36,41.88,46.5,False,False,43.83,1.08,-7.24,flat,,,,,False,,,68.0,False
LHX,2026-09-03,262.14,282.57,299.3,False,False,265.0,1.09,-14.18,flat,,,,,False,,,99.0,False
ESLT,2026-09-03,701.22,769.02,729.34,False,False,709.2,1.14,-9.67,flat,,,,,False,,,91.0,False
WH,2026-09-03,70.99,76.04,79.18,False,False,71.84,1.2,-11.54,flat,,,,,False,,,49.0,False
NOC,2026-09-03,528.24,551.04,577.26,False,False,534.7,1.22,-9.28,flat,,,,,False,,,90.0,False
MBB.DE,2026-09-03,177.6,182.41,182.92,False,False,180.0,1.35,-2.99,flat,,,,,False,,,48.0,False
IESC,2026-09-03,315.09,335.03,286.14,False,False,319.37,1.36,-6.33,flat,,,,,False,,,,False
ST5.DE,2026-09-03,18.98,18.98,20.53,False,False,19.24,1.37,-8.16,flat,,,,,False,,,87.0,False
QUBT,2026-09-03,7.96,8.66,9.77,False,False,8.07,1.38,-22.8,flat,,,,,False,,,100.0,False
KTN.DE,2026-09-03,21.52,22.32,22.64,False,False,21.82,1.39,-5.2,flat,,,,,False,,,105.0,False
PUM.DE,2026-09-03,24.23,26.43,25.35,False,False,24.58,1.44,-9.09,flat,,,,,False,,,53.0,False
META,2026-09-03,610.68,588.64,618.25,False,False,619.46,1.44,-1.24,flat,,,,,False,,,102.0,False
LRN,2026-09-03,85.8,85.89,91.53,False,False,87.07,1.48,-6.67,flat,,,,,False,,,89.0,False
IBM,2026-09-03,234.71,239.18,253.73,False,False,238.29,1.53,-8.1,flat,,,,,False,,,33.0,False
RKLB,2026-09-03,63.81,76.5,76.38,False,False,64.9,1.71,-19.89,flat,,,,,False,,,9.0,False
ORCL,2026-09-03,154.04,148.44,169.94,False,False,156.77,1.77,-10.32,flat,,,,,False,,,54.0,False
EXTR,2026-09-03,21.89,25.56,22.76,False,False,22.29,1.83,-16.79,flat,,,,,False,,,23.0,False
NEM.DE,2026-09-03,67.04,62.19,70.64,False,False,68.36,1.97,-5.37,flat,,,,,False,,,70.0,False
ARQT,2026-09-03,23.66,25.5,24.09,False,False,24.13,1.99,-7.76,flat,,,,,False,,,60.0,False
TSLA,2026-09-03,376.37,358.23,380.58,False,False,384.04,2.04,-1.12,flat,,,,,False,,,35.0,False
ASML.AS,2026-09-03,1424.4,1496.66,1298.97,False,False,1456.2,2.23,-5.07,flat,,,,,False,,,32.0,False
TIMA.DE,2026-09-03,42.2,43.9,45.94,False,False,43.2,2.37,-8.87,flat,,,,,False,,,92.0,False
RHM.DE,2026-09-03,1068.9,1135.32,1314.04,False,False,1097.6,2.69,-22.93,flat,,,,,False,,,76.0,False
UBER,2026-09-03,75.96,74.74,76.56,False,False,78.36,3.16,-0.79,flat,,,,,False,,,98.0,False
PEGA,2026-09-03,37.72,33.41,39.17,False,False,38.96,3.29,-3.83,flat,,,,,False,,,71.0,False
CRNC,2026-09-03,8.49,8.92,9.44,False,False,8.77,3.3,-11.16,flat,,,,,False,,,85.0,False
VERX,2026-09-03,13.78,12.99,15.96,False,False,14.24,3.34,-15.79,flat,,,,,False,,,65.0,False
ACHR,2026-09-03,5.76,5.68,6.45,False,False,5.96,3.47,-12.01,flat,,,,,False,,,64.0,False
NOV.DE,2026-09-03,40.34,40.57,42.43,False,False,42.0,4.13,-5.19,flat,,,,,False,,,57.0,False
RBLX,2026-09-03,41.51,43.1,58.92,False,False,43.29,4.29,-41.95,flat,,,,,False,,,77.0,False
GMED,2026-09-03,78.12,82.06,81.43,False,False,81.54,4.38,-5.05,flat,,,,,False,,,95.0,False
NEGG,2026-09-03,16.48,17.68,29.0,False,False,17.22,4.49,-75.96,flat,,,,,False,,,69.0,False
STO3.DE,2026-09-03,99.0,96.97,105.78,False,False,103.6,4.65,-6.85,flat,,,,,False,,,75.0,False
HIMS,2026-09-03,27.82,30.26,30.93,False,False,29.12,4.67,-11.16,flat,,,,,False,,,103.0,False
RZLV,2026-09-03,2.2,2.59,2.83,False,False,2.34,6.36,-28.61,flat,,,,,False,,,,False
ODD,2026-09-03,14.13,14.29,22.46,False,False,15.12,7.01,-58.98,flat,,,,,False,,,72.0,False
EVTL,2026-09-03,0.6,1.23,2.79,False,False,0.69,15.0,-365.82,flat,,,,,False,,,74.0,False
