ticker,direction,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,signal_strength
GE,long,2025-01-21,185.9346,2025-04-03,186.4097,0.26,ST flip,0
GE,long,2025-05-08,213.0951,2026-03-19,291.2469,36.67,ST flip,0
GE,long,2026-06-09,330.0286,OPEN,,,,0
HIMS,long,2020-12-01,10.77,2021-04-13,12.12,12.53,ST flip,0
HIMS,long,2021-05-27,13.9,2021-07-14,9.26,-33.38,ST flip,0
HIMS,long,2022-11-08,5.53,2023-05-24,8.81,59.31,ST flip,0
HIMS,long,2024-05-20,18.6,2024-08-06,16.88,-9.25,ST flip,0
HIMS,long,2024-09-30,18.42,2025-02-25,39.86,116.4,ST flip,0
HIMS,long,2025-05-05,41.88,2025-08-15,46.02,9.89,ST flip,0
HIMS,long,2025-09-12,55.5,2025-11-06,41.52,-25.19,ST flip,0
HOOD,long,2023-01-27,10.39,2023-03-23,8.57,-17.52,ST flip,0
HOOD,long,2023-06-15,9.98,2023-08-15,10.41,4.31,ST flip,0
HOOD,long,2023-12-05,10.53,2024-08-02,17.88,69.8,ST flip,0
HOOD,long,2024-09-18,22.95,2025-02-25,45.92,100.09,ST flip,0
HOOD,long,2025-05-08,54.07,2025-11-17,115.97,114.48,ST flip,0
IBKR,long,2019-09-27,12.8237,2020-03-05,11.6295,-9.31,ST flip,0
IBKR,long,2020-07-07,11.328,2020-09-09,11.5963,2.37,ST flip,0
IBKR,long,2020-11-13,12.9741,2021-05-11,16.3121,25.73,ST flip,0
IBKR,long,2023-01-18,19.8646,2023-03-13,18.772,-5.5,ST flip,0
IBKR,long,2023-06-29,20.3755,2023-10-02,21.1025,3.57,ST flip,0
IBKR,long,2024-01-03,21.3668,2024-08-02,27.8351,30.27,ST flip,0
IBKR,long,2024-08-27,31.444,2025-03-06,47.1355,49.9,ST flip,0
IBKR,long,2025-05-12,49.009,2025-11-21,60.8478,24.16,ST flip,0
IBKR,long,2026-01-06,72.7281,2026-03-20,65.4038,-10.07,ST flip,0
IBKR,long,2026-04-15,79.6094,OPEN,,,,0
MBB.DE,long,2018-02-26,89.6764,2018-04-04,72.8954,-18.71,ST flip,0
MBB.DE,long,2018-04-20,86.48,2018-07-11,77.4947,-10.39,ST flip,0
MBB.DE,long,2020-04-22,57.8806,2020-10-28,63.0404,8.91,ST flip,0
MBB.DE,long,2020-11-13,82.7061,2021-11-23,115.0418,39.1,ST flip,0
MBB.DE,long,2022-01-20,131.9816,2022-02-24,107.2234,-18.76,ST flip,0
MBB.DE,long,2022-03-29,123.0463,2022-06-15,99.4051,-19.21,ST flip,0
MBB.DE,long,2023-11-14,80.2415,2024-07-05,98.3767,22.6,ST flip,0
MBB.DE,long,2024-10-30,105.168,2025-06-25,131.8776,25.4,ST flip,0
MBB.DE,long,2025-07-17,158.8886,2026-03-13,186.0983,17.12,ST flip,0
MBB.DE,long,2026-05-05,208.0448,2026-05-19,187.4886,-9.88,ST flip,0
MBB.DE,long,2026-07-24,193.4,OPEN,,,,0
MRNA,long,2020-10-13,78.29,2021-03-08,123.47,57.71,ST flip,0
MRNA,long,2021-04-16,170.81,2021-10-04,325.84,90.76,ST flip,0
MRNA,long,2021-11-29,368.51,2022-01-04,233.06,-36.76,ST flip,0
MRNA,long,2022-10-28,150.97,2023-02-23,147.57,-2.25,ST flip,0
MRNA,long,2025-12-11,29.63,2026-07-24,54.07,82.48,ST flip,0
MRNA,long,2026-08-19,174.38,OPEN,,,,0
MSFT,long,2018-06-01,92.9486,2018-10-10,98.2775,5.73,ST flip,0
MSFT,long,2019-03-15,108.2274,2019-06-03,112.3111,3.77,ST flip,0
MSFT,long,2019-06-18,126.6686,2020-02-25,159.0065,25.53,ST flip,0
MSFT,long,2020-06-10,186.7436,2020-09-08,192.7298,3.21,ST flip,0
MSFT,long,2021-01-26,221.5245,2021-05-12,228.4091,3.11,ST flip,0
MSFT,long,2021-06-22,254.3303,2021-09-30,270.5663,6.38,ST flip,0
MSFT,long,2021-10-27,310.1551,2022-01-05,304.1941,-1.92,ST flip,0
MSFT,long,2023-02-02,256.7923,2023-09-26,304.9965,18.77,ST flip,0
MSFT,long,2023-11-01,338.15,2024-04-30,381.897,12.94,ST flip,0
MSFT,long,2024-06-11,425.1849,2024-07-24,421.4704,-0.87,ST flip,0
MSFT,long,2024-12-09,439.9627,2025-01-14,410.0249,-6.8,ST flip,0
MSFT,long,2025-05-01,420.4641,2025-11-06,493.0434,17.26,ST flip,0
MSFT,long,2026-07-30,450.2524,OPEN,,,,0
MU,long,2018-03-02,47.889,2018-04-06,47.2551,-1.32,ST flip,0
MU,long,2018-05-22,57.5624,2018-08-14,49.3614,-14.25,ST flip,0
MU,long,2019-07-01,39.1128,2019-09-27,42.1357,7.73,ST flip,0
MU,long,2019-12-12,49.7027,2020-02-27,49.3224,-0.77,ST flip,0
MU,long,2020-09-16,48.9616,2021-05-12,74.8905,52.96,ST flip,0
MU,long,2023-01-23,60.8989,2024-07-16,126.6932,108.04,ST flip,0
MU,long,2024-09-26,109.1933,2024-12-19,86.6432,-20.65,ST flip,0
MU,long,2025-05-13,96.6837,2025-08-01,104.7119,8.3,ST flip,0
MU,long,2025-08-12,127.5453,2026-03-30,321.7505,152.26,ST flip,0
MU,long,2026-04-14,465.5884,2026-07-29,739.0,58.72,ST flip,0
NOV.DE,long,2018-03-23,4.5621,2018-10-04,4.6456,1.83,ST flip,0
NOV.DE,long,2018-11-30,5.0241,2019-05-13,5.8206,15.85,ST flip,0
NOV.DE,long,2019-06-12,6.3929,2019-07-15,5.8711,-8.16,ST flip,0
NOV.DE,long,2019-08-16,6.8765,2020-02-28,7.8129,13.62,ST flip,0
NOV.DE,long,2020-03-30,8.9411,2020-08-06,8.87,-0.8,ST flip,0
NOV.DE,long,2020-09-15,10.0599,2020-10-28,9.923,-1.36,ST flip,0
NOV.DE,long,2021-02-12,10.8813,2021-09-28,16.6013,52.57,ST flip,0
NOV.DE,long,2021-10-26,18.7687,2021-12-20,18.7463,-0.12,ST flip,0
NOV.DE,long,2022-03-17,20.0622,2022-08-04,22.3427,11.37,ST flip,0
NOV.DE,long,2022-11-02,26.3058,2023-07-11,33.706,28.13,ST flip,0
NOV.DE,long,2023-08-08,42.1009,2024-07-18,62.0974,47.5,ST flip,0
NVDA,long,2018-01-08,5.4818,2018-02-05,5.2769,-3.74,ST flip,0
NVDA,long,2018-05-09,6.3199,2018-06-25,5.9119,-6.46,ST flip,0
NVDA,long,2018-08-27,6.8212,2018-10-10,6.0776,-10.9,ST flip,0
NVDA,long,2019-09-05,4.4648,2020-02-27,6.283,40.72,ST flip,0
NVDA,long,2020-05-11,8.0246,2020-09-08,11.8616,47.81,ST flip,0
NVDA,long,2021-02-10,14.7049,2021-03-03,12.7533,-13.27,ST flip,0
NVDA,long,2021-04-12,15.1531,2022-01-20,24.0739,58.87,ST flip,0
NVDA,long,2022-03-29,28.5706,2022-04-12,21.4399,-24.96,ST flip,0
NVDA,long,2023-01-23,19.1505,2024-07-30,103.5593,440.77,ST flip,0
NVDA,long,2024-10-14,137.8546,2025-01-27,118.2434,-14.23,ST flip,0
NVDA,long,2025-05-13,129.7482,2025-12-12,174.8068,34.73,ST flip,0
NVDA,long,2026-04-14,196.2812,2026-06-26,192.53,-1.91,ST flip,0
PLTR,long,2021-08-31,26.34,2021-10-04,23.17,-12.03,ST flip,0
PLTR,long,2023-10-09,17.61,2024-01-03,16.09,-8.63,ST flip,0
PLTR,long,2024-02-06,21.87,2025-02-24,90.68,314.63,ST flip,0
PLTR,long,2025-04-25,112.78,2025-09-05,153.11,35.76,ST flip,0
PLTR,long,2025-10-29,198.81,2025-11-19,165.42,-16.79,ST flip,0
PLTR,long,2026-08-04,162.66,OPEN,,,,0
QQQ,long,2018-03-09,163.9467,2018-03-23,150.3196,-8.31,ST flip,0
QQQ,long,2018-06-05,165.8059,2018-10-10,163.4988,-1.39,ST flip,0
QQQ,long,2019-02-05,163.2982,2019-05-13,170.8172,4.6,ST flip,0
QQQ,long,2019-06-18,178.3069,2019-08-05,173.256,-2.83,ST flip,0
QQQ,long,2019-10-28,189.7816,2020-02-24,213.1236,12.3,ST flip,0
QQQ,long,2020-05-20,223.2249,2020-09-08,260.8771,16.87,ST flip,0
QQQ,long,2020-12-01,293.2608,2021-02-25,302.8638,3.27,ST flip,0
QQQ,long,2021-06-14,333.9559,2021-09-28,349.6372,4.7,ST flip,0
QQQ,long,2021-10-29,375.131,2021-12-20,370.3376,-1.28,ST flip,0
QQQ,long,2023-01-26,287.466,2023-08-17,352.4264,22.6,ST flip,0
QQQ,long,2023-11-10,372.4348,2024-04-19,409.6954,10.0,ST flip,0
QQQ,long,2024-05-15,447.4884,2024-07-24,458.5708,2.48,ST flip,0
QQQ,long,2024-10-14,493.0285,2025-02-27,496.5732,0.72,ST flip,0
QQQ,long,2025-05-12,504.8488,2025-11-20,583.5385,15.59,ST flip,0
QQQ,long,2026-04-13,616.7123,2026-06-10,692.9285,12.36,ST flip,0
RDNT,long,2018-03-09,11.8,2018-11-09,13.4,13.56,ST flip,0
RDNT,long,2019-07-12,14.49,2020-02-28,20.43,40.99,ST flip,0
RDNT,long,2020-05-19,16.55,2021-08-24,29.93,80.85,ST flip,0
RDNT,long,2021-11-05,34.6,2021-11-26,26.85,-22.4,ST flip,0
RDNT,long,2022-12-05,21.05,2023-09-12,28.02,33.11,ST flip,0
RDNT,long,2023-11-14,31.61,2025-01-10,68.78,117.59,ST flip,0
RDNT,long,2025-08-12,63.6,2025-12-16,71.225,11.99,ST flip,0
RHM.DE,long,2018-04-09,99.7483,2018-06-19,89.9665,-9.81,ST flip,0
RHM.DE,long,2019-06-11,91.8914,2019-10-16,93.1781,1.4,ST flip,0
RHM.DE,long,2020-01-20,95.796,2020-01-31,85.8303,-10.4,ST flip,0
RHM.DE,long,2020-11-10,72.2018,2021-07-07,75.7933,4.97,ST flip,0
RHM.DE,long,2021-09-30,79.7834,2021-11-26,74.8898,-6.13,ST flip,0
RHM.DE,long,2022-01-05,82.9077,2022-07-26,170.6044,105.78,ST flip,0
RHM.DE,long,2022-11-14,168.8792,2023-05-31,230.3368,36.39,ST flip,0
RHM.DE,long,2023-08-07,263.1725,2023-10-03,231.1163,-12.18,ST flip,0
RHM.DE,long,2023-10-12,261.711,2024-09-17,476.0087,81.88,ST flip,0
RHM.DE,long,2024-11-07,533.7366,2025-08-11,1530.2046,186.7,ST flip,0
RHM.DE,long,2025-09-12,1877.7308,2025-10-15,1727.7301,-7.99,ST flip,0
RHM.DE,long,2026-01-07,1806.9385,2026-02-05,1555.4521,-13.92,ST flip,0
RKLB,long,2023-05-18,4.65,2023-09-12,5.305,14.09,ST flip,0
RKLB,long,2023-12-22,5.44,2024-04-02,3.87,-28.86,ST flip,0
RKLB,long,2025-05-15,25.22,2025-11-13,45.25,79.42,ST flip,0
RKLB,long,2025-12-11,63.53,2026-03-27,60.93,-4.09,ST flip,0
RKLB,long,2026-04-20,89.46,2026-06-24,85.41,-4.53,ST flip,0
SMCI,long,2019-08-21,1.995,2020-03-09,2.304,15.49,ST flip,0
SMCI,long,2020-06-01,2.655,2020-08-12,2.601,-2.03,ST flip,0
SMCI,long,2020-11-04,2.838,2021-05-11,3.419,20.47,ST flip,0
SMCI,long,2021-07-30,3.804,2022-01-25,3.945,3.71,ST flip,0
SMCI,long,2022-04-19,4.465,2022-06-23,4.165,-6.72,ST flip,0
SMCI,long,2022-07-21,5.163,2022-09-21,5.503,6.59,ST flip,0
SMCI,long,2022-10-28,6.872,2023-01-19,7.086,3.11,ST flip,0
SMCI,long,2023-02-16,9.588,2023-08-11,25.443,165.36,ST flip,0
SMCI,long,2023-10-10,31.031,2024-08-02,62.465,101.3,ST flip,0
SMCI,long,2025-05-14,45.0,2025-08-08,44.6,-0.89,ST flip,0
SMCI,long,2025-10-01,52.39,2025-11-05,42.03,-19.77,ST flip,0
SMCI,long,2026-08-12,37.61,OPEN,,,,0
SPY,long,2018-07-10,246.932,2018-10-10,247.5161,0.24,ST flip,0
SPY,long,2019-06-18,262.7273,2019-08-05,256.2583,-2.46,ST flip,0
SPY,long,2019-10-28,275.1112,2020-01-31,293.2631,6.6,ST flip,0
SPY,long,2020-02-19,308.4035,2020-02-24,293.8922,-4.71,ST flip,0
SPY,long,2020-06-02,282.4721,2020-09-08,306.8577,8.63,ST flip,0
SPY,long,2020-11-11,329.7772,2021-09-20,406.9668,23.41,ST flip,0
SPY,long,2021-10-25,427.1351,2021-12-01,422.4,-1.11,ST flip,0
SPY,long,2021-12-27,449.063,2022-01-19,425.0602,-5.35,ST flip,0
SPY,long,2023-11-14,433.8307,2024-04-16,490.3036,13.02,ST flip,0
SPY,long,2024-05-15,515.8642,2024-07-25,525.9588,1.96,ST flip,0
SPY,long,2024-09-19,557.7755,2024-12-18,574.4784,2.99,ST flip,0
SPY,long,2025-05-13,578.6982,2026-03-12,662.5391,14.49,ST flip,0
SPY,long,2026-04-13,684.337,2026-06-10,723.5659,5.73,ST flip,0
SPY,long,2026-08-04,771.33,OPEN,,,,0
SZG.DE,long,2018-05-02,41.7406,2018-06-19,37.9424,-9.1,ST flip,0
SZG.DE,long,2022-01-04,30.4092,2022-01-24,28.2003,-7.26,ST flip,0
SZG.DE,long,2022-02-25,35.0295,2022-05-09,32.4709,-7.3,ST flip,0
SZG.DE,long,2023-06-14,34.897,2023-07-21,28.7934,-17.49,ST flip,0
SZG.DE,long,2025-07-08,26.8185,2025-09-03,20.6971,-22.83,ST flip,0
SZG.DE,long,2025-09-26,25.3231,2026-03-13,40.6765,60.63,ST flip,0
SZG.DE,long,2026-04-10,47.6752,2026-06-18,51.9,8.86,ST flip,0
SZG.DE,long,2026-08-26,58.15,OPEN,,,,0
TSLA,long,2018-01-19,23.3347,2018-03-23,20.1027,-13.85,ST flip,0
TSLA,long,2018-06-11,22.14,2018-07-30,19.3447,-12.63,ST flip,0
TSLA,long,2018-08-07,25.3047,2018-09-05,18.716,-26.04,ST flip,0
TSLA,long,2018-10-26,22.06,2018-12-24,19.6927,-10.73,ST flip,0
TSLA,long,2019-10-14,17.1307,2020-03-09,40.5333,136.61,ST flip,0
TSLA,long,2020-04-16,49.6807,2020-09-08,110.07,121.55,ST flip,0
TSLA,long,2020-11-19,166.4233,2021-02-23,232.9467,39.97,ST flip,0
TSLA,long,2021-08-02,236.5567,2021-12-13,322.1367,36.18,ST flip,0
TSLA,long,2022-01-03,399.9267,2022-01-27,276.3667,-30.9,ST flip,0
TSLA,long,2022-03-28,363.9467,2022-04-29,290.2533,-20.25,ST flip,0
TSLA,long,2023-05-30,201.16,2023-08-09,242.19,20.4,ST flip,0
TSLA,long,2023-09-11,273.58,2023-10-20,211.99,-22.51,ST flip,0
TSLA,long,2023-12-15,253.5,2024-01-12,218.89,-13.65,ST flip,0
TSLA,long,2024-09-27,260.46,2025-02-07,361.62,38.84,ST flip,0
TSLA,long,2025-05-13,334.07,2025-06-05,284.7,-14.78,ST flip,0
TSLA,long,2025-09-12,395.94,2026-02-05,397.21,0.32,ST flip,0
TSLA,long,2026-05-08,428.35,2026-07-23,319.69,-25.37,ST flip,0
VERX,long,2023-02-02,15.38,2023-07-06,18.1,17.69,ST flip,0
VERX,long,2023-08-22,22.06,2024-01-11,23.74,7.62,ST flip,0
VERX,long,2024-02-29,33.58,2025-02-13,45.49,35.47,ST flip,0
VRSN,long,2018-02-16,118.401,2018-10-08,148.0921,25.08,ST flip,0
VRSN,long,2018-11-02,162.0782,2019-08-05,196.7293,21.38,ST flip,0
VRSN,long,2020-01-03,197.299,2020-02-25,190.1978,-3.6,ST flip,0
VRSN,long,2020-04-22,211.8155,2020-09-08,193.3015,-8.74,ST flip,0
VRSN,long,2020-12-17,214.045,2021-01-14,192.2113,-10.2,ST flip,0
VRSN,long,2021-04-26,212.7976,2021-08-04,210.0672,-1.28,ST flip,0
VRSN,long,2021-10-29,218.7005,2022-01-13,225.7623,3.23,ST flip,0
VRSN,long,2022-10-28,199.7446,2023-02-23,198.399,-0.67,ST flip,0
VRSN,long,2023-03-31,207.5627,2023-07-26,207.0814,-0.23,ST flip,0
VRSN,long,2023-10-17,210.4503,2023-10-27,189.196,-10.1,ST flip,0
VRSN,long,2023-12-01,213.8879,2024-01-02,197.9668,-7.44,ST flip,0
VRSN,long,2026-08-03,298.0152,OPEN,,,,0
