ticker,bench,last_bar,stale,close,rs_diff,rs_rank,days_in_trend,vs_ma_pct,stop,stop_dist_pct,strength,trend
GFT.DE,^GDAXI,2026-08-31,,25.25,10.0,72.0,23,30.2,22.07,12.6,4,up
DE,SPY,2026-08-31,,654.91,9.7,70.0,5,16.7,588.29,10.2,0,up
IBKR,SPY,2026-08-31,,97.29,9.7,70.0,3,24.4,87.11,10.5,0,up
VERX,SPY,2026-08-31,,14.16,8.8,69.0,22,-4.2,12.39,12.5,4,up
22UA.DE,^GDAXI,2026-08-31,,88.05,8.2,68.0,7,4.7,85.16,3.3,0,up
NOV.DE,^GDAXI,2026-08-31,,39.15,8.1,67.0,5,21.8,37.38,4.5,0,up
IOS.DE,^GDAXI,2026-08-31,,35.04,7.8,66.0,1,28.0,32.12,8.3,0,up
LMT,SPY,2026-08-31,,561.23,7.6,65.0,3,1.8,600.73,-7.0,0,down
CRSP,SPY,2026-08-31,,56.98,7.4,65.0,9,7.2,52.27,8.3,0,up
DELL,SPY,2026-08-31,,456.01,6.6,64.0,127,85.6,397.6,12.8,0,up
AIR.DE,^GDAXI,2026-08-31,,201.25,6.4,63.0,0,6.8,213.52,-6.1,0,down
ADN1.DE,^GDAXI,2026-08-31,,62.5,6.0,62.0,31,-5.7,55.23,11.6,3,up
APH,SPY,2026-08-31,,158.55,5.6,61.0,19,9.5,150.62,5.0,0,up
B,SPY,2026-08-31,,44.83,5.1,60.0,17,6.5,43.4,3.2,0,up
GE,SPY,2026-08-31,,335.71,4.9,59.0,6,4.9,366.11,-9.1,0,down
HBH.DE,^GDAXI,2026-08-31,,82.3,4.8,58.0,40,3.4,80.22,2.5,2,up
HIMS,SPY,2026-08-31,,29.58,4.0,57.0,26,3.6,34.26,-15.8,0,down
UBER,SPY,2026-08-31,,75.65,3.6,56.0,15,-1.4,72.23,4.5,0,up
KGX.DE,^GDAXI,2026-08-31,,44.23,3.4,55.0,2,-12.1,39.86,9.9,0,up
PEGA,SPY,2026-08-31,,36.81,3.3,55.0,15,-12.2,32.01,13.0,6,up
HAG.DE,^GDAXI,2026-08-31,,86.06,3.2,54.0,41,9.1,84.22,2.1,0,up
8RMY.DE,^GDAXI,2026-08-31,,10.29,2.8,52.0,4,3.3,10.85,-5.4,0,down
NEM.DE,^GDAXI,2026-08-31,,70.15,2.8,52.0,4,1.6,62.1,11.5,1,up
GMED,SPY,2026-08-31,,81.37,2.4,51.0,14,-5.4,80.03,1.6,0,up
SIX2.DE,^GDAXI,2026-08-31,,73.57,2.1,50.0,35,9.4,68.97,6.3,3,up
MBB.DE,^GDAXI,2026-08-31,,186.0,1.1,49.0,6,-2.5,192.76,-3.6,0,down
CEG,SPY,2026-08-31,,274.77,1.0,48.0,27,-7.4,256.2,6.8,0,up
AMZN,SPY,2026-08-31,,259.77,0.8,47.0,21,8.8,249.92,3.8,0,up
NOC,SPY,2026-08-31,,539.7,0.6,46.0,3,-10.2,576.48,-6.8,0,down
SPY,SPY,2026-08-31,,767.05,0.0,45.0,19,8.4,755.66,1.5,0,up
NVDA,SPY,2026-08-31,,220.78,-0.6,45.0,18,12.8,207.41,6.1,0,up
CSF.DE,^GDAXI,2026-08-31,,243.3,-1.9,44.0,6,1.2,256.46,-5.4,2,down
DUK,SPY,2026-08-31,,119.91,-2.0,43.0,17,-2.0,125.67,-4.8,3,down
ASML.AS,SPY,2026-08-31,,1480.0,-2.9,42.0,9,16.9,1426.34,3.6,0,up
HPE,SPY,2026-08-31,,52.24,-4.0,41.0,19,60.6,51.57,1.3,0,up
STO3.DE,^GDAXI,2026-08-31,,97.0,-4.2,40.0,18,-8.6,91.06,6.1,3,up
VRSN,SPY,2026-08-31,,288.28,-4.6,39.0,31,11.2,271.82,5.7,0,up
QQQ,SPY,2026-08-31,,716.76,-4.7,38.0,19,9.5,698.29,2.6,0,up
MU,SPY,2026-08-31,,958.73,-5.3,37.0,33,62.0,1044.51,-8.9,0,down
MCD,SPY,2026-08-31,,263.54,-5.5,36.0,113,-10.6,278.03,-5.5,2,down
HLT,SPY,2026-08-31,,316.28,-6.5,35.0,34,1.5,336.72,-6.5,4,down
LUV,SPY,2026-08-31,,38.53,-7.3,35.0,26,-9.7,42.76,-11.0,7,down
RBLX,SPY,2026-08-31,,41.29,-7.4,34.0,20,-32.8,44.26,-7.2,0,down
WH,SPY,2026-08-31,,73.66,-9.5,33.0,37,-5.6,79.18,-7.5,2,down
PUM.DE,^GDAXI,2026-08-31,,25.65,-10.1,32.0,9,6.2,27.32,-6.5,0,down
KTN.DE,^GDAXI,2026-08-31,,22.14,-10.3,30.0,1,-1.9,20.99,5.2,0,up
META,SPY,2026-08-31,,572.34,-10.3,30.0,23,-7.9,605.16,-5.7,0,down
TIMA.DE,^GDAXI,2026-08-31,,43.0,-10.5,29.0,103,-7.5,45.19,-5.1,0,down
GOOG,SPY,2026-08-31,,335.41,-10.7,28.0,21,0.6,332.76,0.8,0,up
ST5.DE,^GDAXI,2026-08-31,,18.94,-10.8,27.0,1,-8.6,17.86,5.7,0,up
ACHR,SPY,2026-08-31,,5.78,-11.0,26.0,16,-10.9,5.17,10.6,0,up
BABA,SPY,2026-08-31,,114.02,-11.5,25.0,4,-15.9,127.81,-12.1,0,down
AMD,SPY,2026-08-31,,470.72,-11.6,25.0,24,39.8,534.19,-13.5,0,down
RHM.DE,^GDAXI,2026-08-31,,1138.4,-12.0,24.0,22,-18.9,1070.22,6.0,0,up
NEGG,SPY,2026-08-31,,16.28,-12.6,23.0,17,-56.8,14.28,12.3,0,up
AVGO,SPY,2026-08-31,,370.34,-13.0,22.0,8,0.5,394.45,-6.5,0,down
TSLA,SPY,2026-08-31,,367.95,-13.6,21.0,6,-8.1,317.53,13.7,1,up
LHX,SPY,2026-08-31,,266.25,-13.9,20.0,21,-15.1,281.15,-5.6,1,down
CSCO,SPY,2026-08-31,,110.49,-14.3,19.0,10,18.3,119.45,-8.1,0,down
SZG.DE,^GDAXI,2026-08-31,,57.4,-14.7,18.0,33,19.7,50.15,12.6,3,up
LRN,SPY,2026-08-31,,86.69,-14.9,17.0,21,5.1,90.22,-4.1,0,down
DUE.DE,^GDAXI,2026-08-31,,18.14,-16.7,16.0,75,-9.0,18.36,-1.2,0,down
RBC,SPY,2026-08-31,,494.26,-17.4,15.0,37,-8.9,546.41,-10.6,4,down
ESLT,SPY,2026-08-31,,700.51,-17.4,15.0,13,-5.9,763.9,-9.0,6,down
BWXT,SPY,2026-08-31,,152.29,-19.4,14.0,38,-21.0,168.41,-10.6,3,down
JBL,SPY,2026-08-31,,305.26,-21.4,13.0,7,5.2,344.17,-12.7,0,down
SMCI,SPY,2026-08-31,,37.28,-22.1,12.0,28,19.0,31.88,14.5,0,up
EXTR,SPY,2026-08-31,,22.49,-23.8,11.0,17,7.8,25.67,-14.1,1,down
2GB.DE,^GDAXI,2026-08-31,,55.3,-24.1,10.0,56,17.8,62.24,-12.6,0,down
IBM,SPY,2026-08-31,,233.87,-24.9,9.0,33,-10.3,242.64,-3.8,0,down
QUBT,SPY,2026-08-31,,8.23,-28.0,8.0,71,-14.0,9.32,-13.3,1,down
BIDU,SPY,2026-08-31,,95.28,-30.1,7.0,10,-22.8,102.82,-7.9,0,down
CRNC,SPY,2026-08-31,,8.44,-33.2,6.0,56,-11.7,9.32,-10.4,0,down
QCOM,SPY,2026-08-31,,170.48,-33.5,5.0,55,2.0,173.44,-1.7,0,down
XPEV,SPY,2026-08-31,,11.36,-36.9,5.0,25,-32.6,12.78,-12.5,2,down
ORCL,SPY,2026-08-31,,149.12,-38.3,4.0,20,-11.9,133.41,10.5,0,up
RKLB,SPY,2026-08-31,,63.92,-48.3,3.0,1,-19.2,76.05,-19.0,0,down
IESC,SPY,2026-08-31,,303.0,-58.3,2.0,3,-44.4,502.7,-65.9,0,down
EVTL,SPY,2026-08-31,,0.68,-75.2,1.0,58,-79.4,0.94,-37.9,7,down
