date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2024-07-16,ANGO,SPY,7.51,6.3383,5.8848,9.27,71.0,0
2024-07-16,CRSP,SPY,62.75,60.9064,52.1082,-1.71,48.0,0
2024-07-17,RTX,SPY,100.8823,87.1485,95.5678,-8.84,34.0,0
2024-07-23,GE,SPY,170.0348,125.2735,154.3504,-3.5,49.0,0
2024-07-23,PEGA,SPY,31.2051,27.2037,28.3012,-3.91,47.0,0
2024-07-29,WH,SPY,74.128,71.8775,68.0308,-2.97,48.0,0
2024-07-30,PUM.DE,^GDAXI,45.0212,44.8444,41.6418,4.03,71.0,0
2024-08-02,MLB1.DE,^GDAXI,1605.2,1463.887,1470.2158,8.23,79.0,0
2024-08-07,FTNT,SPY,69.93,61.1608,59.3421,20.33,96.0,0
2024-08-07,TIMA.DE,^GDAXI,34.6543,29.5941,30.8819,13.63,87.0,0
2024-08-08,PLTR,SPY,29.28,21.7467,22.1942,37.63,100.0,0
2024-08-08,WIX,SPY,163.72,131.5448,138.2546,26.7,99.0,0
2024-08-08,GMED,SPY,73.92,56.5356,65.5794,13.75,90.0,0
2024-08-08,RDNT,SPY,61.67,45.5618,49.4544,8.48,78.0,0
2024-08-08,META,SPY,506.2318,433.6485,448.459,6.8,73.0,0
2024-08-08,IESC,SPY,166.26,111.3159,126.8682,-0.17,54.0,0
2024-08-09,RHM.DE,^GDAXI,530.3872,411.3049,464.8919,10.4,79.0,0
2024-08-12,RKLB,SPY,5.39,4.5388,4.3444,23.21,98.0,0
2024-08-12,B,SPY,18.17,15.8171,15.526,8.67,78.0,0
2024-08-14,EXTR,SPY,14.45,13.7333,12.2811,20.79,96.0,0
2024-08-14,MBB.DE,^GDAXI,100.8992,93.953,91.0368,2.02,64.0,0
2024-08-15,AVGO,SPY,163.0633,126.2688,135.1937,13.18,88.0,0
2024-08-15,EXLS,SPY,35.79,30.6253,32.5198,10.81,85.0,0
2024-08-15,NOV.DE,^GDAXI,68.1198,58.4913,59.309,4.58,73.0,0
2024-08-15,IOS.DE,^GDAXI,27.05,21.3387,23.2455,3.09,68.0,0
2024-08-15,SPY,SPY,540.2797,490.5698,511.2716,0.0,63.0,0
2024-08-15,QQQ,SPY,469.4962,428.3901,433.7839,-0.22,62.0,0
2024-08-15,CSCO,SPY,46.2764,45.7785,43.0766,-0.82,61.0,0
2024-08-15,HAG.DE,^GDAXI,35.4723,32.1225,32.0243,-4.85,51.0,0
2024-08-15,APH,SPY,65.0047,55.375,58.2675,-5.46,50.0,0
2024-08-15,IBKR,SPY,29.7471,25.9542,27.354,-8.7,44.0,0
2024-08-15,DELL,SPY,106.8802,102.1597,86.244,-28.64,7.0,0
2024-08-16,NVDA,SPY,124.375,83.8244,102.0485,25.96,98.0,0
2024-08-16,PTGX,SPY,41.4,27.7837,35.1001,25.9,97.0,0
2024-08-16,HBH.DE,^GDAXI,74.7935,65.4476,68.3481,7.61,79.0,0
2024-08-16,HOOD,SPY,19.98,16.1508,16.3288,-9.33,41.0,0
2024-08-16,MU,SPY,107.3151,101.9406,90.604,-19.88,18.0,0
2024-08-21,RBLX,SPY,43.35,38.8259,37.348,26.46,96.0,0
2024-08-21,ORCL,SPY,137.1846,118.065,128.5016,8.16,82.0,0
2024-08-21,BWXT,SPY,99.2277,88.1079,91.0103,7.09,79.0,0
2024-08-21,NEM.DE,^GDAXI,90.0177,83.8224,83.015,4.41,71.0,0
2024-08-23,HLT,SPY,216.1647,197.0356,204.8862,3.37,64.0,0
2024-08-23,HPE,SPY,18.2856,16.6058,16.6864,-0.89,54.0,0
2024-08-26,ARQT,SPY,10.58,7.4635,7.7043,14.52,89.0,0
2024-08-27,V,SPY,266.6992,264.3708,254.7695,-7.27,39.0,0
2024-08-29,RBC,SPY,297.26,271.4729,279.3755,-1.94,53.0,0
2024-09-11,AMZN,SPY,184.52,173.522,166.044,-2.01,48.0,0
2024-09-12,AVGO,SPY,161.5223,132.4602,132.2741,-12.26,29.0,0
2024-09-13,GE,SPY,176.243,139.6315,157.7038,5.46,62.0,0
2024-09-13,MSFT,SPY,423.8937,404.8079,396.9987,-6.15,38.0,0
2024-09-13,CEG,SPY,193.7233,169.1085,169.2557,-13.71,26.0,0
2024-09-13,HIMS,SPY,16.57,14.4775,13.8019,-35.95,7.0,0
2024-09-16,EVTL,SPY,9.1,7.7494,6.4203,19.91,88.0,0
2024-09-16,TOST,SPY,26.57,22.4998,23.4884,0.89,53.0,0
2024-09-17,EXTR,SPY,15.19,13.4536,13.3827,16.67,83.0,0
2024-09-18,HPE,SPY,17.4194,16.7992,15.4507,-14.04,24.0,0
2024-09-19,IESC,SPY,183.65,126.3122,149.131,30.24,96.0,0
2024-09-19,TSLA,SPY,243.92,202.2576,206.1614,25.4,93.0,0
2024-09-19,TIMA.DE,^GDAXI,31.9815,30.1743,28.3858,-3.77,41.0,0
2024-09-19,QQQ,SPY,478.3434,439.6672,451.4926,-3.97,40.0,0
2024-09-19,GOOG,SPY,162.2107,157.7259,151.9601,-16.72,21.0,0
2024-09-20,BWXT,SPY,101.417,90.4341,92.9571,3.47,59.0,0
2024-09-20,APH,SPY,65.0365,57.9655,59.6967,-6.09,36.0,0
2024-09-23,LHX,SPY,230.4266,208.9962,217.8729,2.47,56.0,0
2024-09-24,PEGA,SPY,35.8077,29.5964,32.2678,13.91,79.0,0
2024-09-26,NEM.DE,^GDAXI,92.1352,85.4237,84.9162,-3.95,40.0,0
2024-09-26,MU,SPY,109.1933,104.7414,95.2815,-21.62,12.0,0
2024-10-01,VERX,SPY,39.21,31.8316,35.4049,6.63,64.0,0
2024-10-01,ESLT,SPY,199.8026,195.9444,188.2137,4.57,57.0,0
2024-10-04,RHM.DE,^GDAXI,512.261,459.197,467.7404,0.17,50.0,0
2024-10-04,NVDA,SPY,124.7251,95.9759,108.8696,-5.22,38.0,0
2024-10-11,MLB1.DE,^GDAXI,1912.8,1579.253,1780.1533,20.25,85.0,0
2024-10-15,DUK,SPY,109.1087,94.5307,103.8173,5.07,64.0,0
2024-10-17,V,SPY,286.077,269.1377,272.2685,6.55,66.0,0
2024-10-22,MBB.DE,^GDAXI,100.3171,97.4223,94.2318,-5.68,36.0,0
2024-10-22,IOS.DE,^GDAXI,24.2,23.3951,22.3654,-6.11,34.0,0
2024-10-22,ANGO,SPY,7.27,6.4374,5.7908,-12.5,24.0,0
2024-10-23,LRN,SPY,89.71,68.9492,71.5641,10.99,79.0,0
2024-10-24,TSLA,SPY,260.48,201.3954,216.8034,6.76,71.0,0
2024-10-30,ABBV,SPY,190.1956,164.9786,173.6012,-2.05,40.0,0
2024-10-31,RBLX,SPY,51.72,39.4905,44.0255,32.98,94.0,0
2024-11-06,HOOD,SPY,29.86,19.8091,23.4109,52.82,96.0,0
2024-11-06,HIMS,SPY,23.42,16.5378,17.3077,37.18,94.0,0
2024-11-06,DBX,SPY,27.9,24.4822,25.5815,14.74,76.0,0
2024-11-06,HPE,SPY,20.4488,17.4724,18.3505,11.31,65.0,0
2024-11-06,MU,SPY,111.2562,107.9201,97.4129,5.52,54.0,0
2024-11-06,RBC,SPY,316.52,277.4337,283.5665,4.69,53.0,0
2024-11-06,SPY,SPY,579.1426,522.7418,557.2001,0.0,43.0,0
2024-11-06,VRSN,SPY,183.2539,180.2196,170.8974,-2.6,36.0,0
2024-11-07,XPEV,SPY,14.22,8.8351,11.0407,103.0,98.0,0
2024-11-07,ARQT,SPY,10.4,9.2755,8.4369,-1.31,36.0,0
2024-11-07,RHM.DE,^GDAXI,533.7365,480.6301,454.1618,-10.29,21.0,0
2024-11-11,NOC,SPY,518.4343,461.6103,493.1072,-2.6,34.0,0
2024-11-11,RTX,SPY,120.3272,103.0883,113.8481,-2.75,33.0,0
2024-11-12,MLB1.DE,^GDAXI,1870.2,1617.283,1660.7475,-0.28,41.0,0
2024-11-13,BWXT,SPY,130.282,98.1334,116.7629,25.97,86.0,0
2024-11-20,U,SPY,21.63,21.3779,17.1537,19.84,79.0,0
2024-11-21,DE,SPY,427.6259,375.9769,383.1342,9.51,63.0,0
2024-11-21,IBM,SPY,212.4702,180.8857,196.4469,6.28,54.0,0
2024-11-22,PTGX,SPY,46.46,35.8895,36.8334,2.88,47.0,0
2024-11-25,HIMS,SPY,31.35,17.5292,19.4496,106.5,96.0,0
2024-11-25,22UA.DE,^GDAXI,110.9,88.2697,92.881,37.08,87.0,0
2024-11-26,CEG,SPY,264.0722,203.4578,222.1397,41.14,87.0,0
2024-11-26,DUK,SPY,110.0734,97.6106,104.0348,-7.09,25.0,0
2024-11-26,ABBV,SPY,170.9778,166.6968,155.442,-16.77,13.0,0
2024-12-03,META,SPY,610.1397,513.2901,554.5601,10.82,59.0,0
2024-12-04,AMZN,SPY,218.16,185.1649,202.4646,10.44,60.0,0
2024-12-04,MSFT,SPY,431.4795,415.2593,406.7518,-5.25,32.0,0
2024-12-05,DUE.DE,^GDAXI,21.7522,19.8539,19.6688,16.97,68.0,0
2024-12-06,AVGO,SPY,176.7955,150.548,155.8363,0.41,37.0,0
2024-12-06,HBH.DE,^GDAXI,79.5332,73.1383,74.7139,-6.32,26.0,0
2024-12-09,XPEV,SPY,14.13,9.262,11.4776,49.6,91.0,0
2024-12-09,2GB.DE,^GDAXI,23.1236,22.1253,20.7185,8.62,55.0,0
2024-12-09,BABA,SPY,89.9594,80.2321,82.5264,1.09,38.0,0
2024-12-09,MCD,SPY,290.892,266.7458,277.4527,-5.68,29.0,0
2024-12-10,GOOG,SPY,185.5642,165.8076,171.7805,10.03,61.0,0
